gene_symbol,balaton_consensus,tcga_brca_median_logcpm,tcga_brca_expression_coverage_percent,illumina_450k_promoter_cpg_mappings,selection_status
HCCS,S,4.50,100.0,12,included
RAI2,S,4.00,94.9,14,included
PDK3,S,6.23,100.0,11,included
DYNLT3,S,5.35,100.0,8,included
CASK,S,6.06,100.0,13,included
ELK1,S,5.45,100.0,11,included
FAM120C,S,4.31,100.0,9,included
ZXDB,S,4.52,100.0,9,included
MSN,S,8.26,100.0,8,included
YIPF6,S,6.40,100.0,9,included
PGK1,S,8.62,100.0,14,included
BRWD3,S,4.72,100.0,6,included
BEX4,S,5.14,100.0,12,included
ACSL4,S,5.06,99.9,11,included
UBE2A,S,6.23,100.0,13,included
XIAP,S,6.40,100.0,15,included
SLC25A14,S,3.19,100.0,10,included
MMGT1,S,5.16,100.0,5,included
FMR1,S,5.85,100.0,10,included
FLNA,S,9.68,100.0,18,included
