gene_symbol,chromosome,start,end,gene_biotype,xci_category,selection_note,source_note
HCCS,X,11111301,11123086,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
RAI2,X,17800049,17861337,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
PDK3,X,24465270,24550466,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
DYNLT3,X,37836757,37847571,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
CASK,X,41514934,41923517,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
ELK1,X,47635521,47650604,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
FAM120C,X,54068324,54183281,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
ZXDB,X,57591652,57597545,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
MSN,X,65588377,65741931,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
YIPF6,X,68498562,68537282,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
PGK1,X,77910739,78129295,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
BRWD3,X,80669503,80809877,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
BEX4,X,103215108,103217246,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
ACSL4,X,109624244,109733403,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
UBE2A,X,119574536,119591083,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
XIAP,X,123859724,123913976,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
SLC25A14,X,130339888,130373361,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
MMGT1,X,135962070,135974063,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
FMR1,X,147911919,147951125,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
FLNA,X,154348524,154374634,protein_coding,subject to XCI (Balaton consensus S),Strict consensus subject-to-XCI gene expressed in TCGA-BRCA with promoter CpG coverage,Balaton et al. consensus classification; GRCh38 coordinates from GDC STAR rowRanges
